"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"3647","Stephen Curry","Golden State Warriors","1/18/17",2016,4,4,48,"shot_no","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-14,269,44
"3648","Stephen Curry","Golden State Warriors","1/18/17",2016,2,0,39,"shot_no","Jump Shot","3PT Field Goal",28,"Oklahoma City Thunder",-43,283,24
"3649","Stephen Curry","Golden State Warriors","1/18/17",2016,1,2,41,"shot_no","Jump Shot","2PT Field Goal",22,"Oklahoma City Thunder",-117,193,10
"3650","Stephen Curry","Golden State Warriors","1/18/17",2016,3,5,45,"shot_yes","Jump Shot","3PT Field Goal",27,"Oklahoma City Thunder",15,277,31
"3651","Stephen Curry","Golden State Warriors","1/18/17",2016,1,9,32,"shot_no","Jump Shot","2PT Field Goal",7,"Oklahoma City Thunder",-14,77,3
"3652","Stephen Curry","Golden State Warriors","12/13/16",2016,3,2,55,"shot_no","Jump Shot","2PT Field Goal",14,"New Orleans Pelicans",148,16,34
"3653","Stephen Curry","Golden State Warriors","3/5/17",2016,2,5,48,"shot_yes","Jump Shot","3PT Field Goal",23,"New York Knicks",-88,222,19
"3654","Stephen Curry","Golden State Warriors","11/16/16",2016,4,1,38,"shot_no","Jump Shot","3PT Field Goal",26,"Toronto Raptors",232,121,47
"3655","Stephen Curry","Golden State Warriors","3/28/17",2016,2,2,37,"shot_no","Jump Shot","3PT Field Goal",24,"Houston Rockets",-237,41,22
"3656","Stephen Curry","Golden State Warriors","11/9/16",2016,2,9,39,"shot_no","Jump Shot","3PT Field Goal",23,"Dallas Mavericks",-233,2,15
"3657","Stephen Curry","Golden State Warriors","12/23/16",2016,2,2,55,"shot_yes","Jump Shot","3PT Field Goal",26,"Detroit Pistons",-227,129,22
"3658","Stephen Curry","Golden State Warriors","12/23/16",2016,2,4,14,"shot_no","Jump Shot","3PT Field Goal",24,"Detroit Pistons",-192,159,20
"3659","Stephen Curry","Golden State Warriors","12/23/16",2016,4,3,14,"shot_yes","Jump Shot","3PT Field Goal",26,"Detroit Pistons",-132,228,45
"3660","Stephen Curry","Golden State Warriors","12/23/16",2016,4,2,34,"shot_no","Jump Shot","2PT Field Goal",17,"Detroit Pistons",156,75,46
"3661","Stephen Curry","Golden State Warriors","12/23/16",2016,3,1,21,"shot_no","Jump Shot","2PT Field Goal",17,"Detroit Pistons",141,101,35
"3662","Stephen Curry","Golden State Warriors","12/23/16",2016,1,0,59,"shot_yes","Jump Shot","3PT Field Goal",23,"Detroit Pistons",-237,8,12
"3663","Stephen Curry","Golden State Warriors","12/23/16",2016,1,7,44,"shot_yes","Jump Shot","2PT Field Goal",16,"Detroit Pistons",27,165,5
"3664","Stephen Curry","Golden State Warriors","12/23/16",2016,3,7,25,"shot_yes","Jump Shot","3PT Field Goal",24,"Detroit Pistons",236,80,29
"3665","Stephen Curry","Golden State Warriors","12/23/16",2016,3,2,27,"shot_yes","Jump Shot","3PT Field Goal",26,"Detroit Pistons",225,139,34
"3666","Stephen Curry","Golden State Warriors","12/23/16",2016,2,0,31,"shot_no","Jump Shot","3PT Field Goal",25,"Detroit Pistons",-132,223,24
"3667","Stephen Curry","Golden State Warriors","12/23/16",2016,3,8,47,"shot_no","Jump Shot","3PT Field Goal",25,"Detroit Pistons",220,129,28
"3668","Stephen Curry","Golden State Warriors","12/23/16",2016,3,10,50,"shot_no","Jump Shot","2PT Field Goal",10,"Detroit Pistons",-7,100,26
"3669","Stephen Curry","Golden State Warriors","12/23/16",2016,3,3,34,"shot_no","Jump Shot","3PT Field Goal",25,"Detroit Pistons",213,141,33
